DATE,DEXKOUS
2015-03-13,1135.7
2015-03-16,1129.62
2015-03-17,1127.69
2015-03-18,1127.09
2015-03-19,1121.21
2015-03-20,1113.87
2015-03-23,1106.68
2015-03-24,1104.2
2015-03-25,1099.72
2015-03-26,1103.59
2015-03-27,1103.6
2015-03-30,1106.39
2015-03-31,1107.71
2015-04-01,1098.1
2015-04-02,1089.49
2015-04-03,1085.65
2015-04-06,1083.38
2015-04-07,1093.76
2015-04-08,1093.77
2015-04-09,1093.8
2015-04-10,1093.13
2015-04-13,1100.41
2015-04-14,1090.76
2015-04-15,1095.07
2015-04-16,1086.89
2015-04-17,1081.99
2015-04-20,1081.27
2015-04-21,1081.54
2015-04-22,1080.64
2015-04-23,1080
2015-04-24,1075.85
2015-04-27,1071.01
2015-04-28,1063.03
2015-04-29,1066.48
2015-04-30,1076.74
2015-05-01,1080.22
2015-05-04,1081.19
2015-05-05,1080.46
2015-05-06,1077.23
2015-05-07,1093.55
2015-05-08,1087.28
2015-05-11,1095.39
2015-05-12,1093.81
2015-05-13,1089.72
2015-05-14,1089.46
2015-05-15,1083.05
2015-05-18,1088.19
2015-05-19,1093.94
2015-05-20,1097.62
2015-05-21,1092.41
2015-05-22,1093.46
2015-05-25,.
2015-05-26,1106.06
2015-05-27,1107.84
2015-05-28,1109.86
2015-05-29,1111.99
2015-06-01,1115.61
2015-06-02,1109.34
2015-06-03,1104.33
2015-06-04,1112.56
2015-06-05,1121.18
2015-06-08,1121.95
2015-06-09,1119.38
2015-06-10,1110.32
2015-06-11,1113.24
2015-06-12,1111.63
2015-06-15,1114.94
2015-06-16,1118.08
2015-06-17,1122.83
2015-06-18,1101.55
2015-06-19,1102.64
2015-06-22,1098.85
2015-06-23,1104.54
2015-06-24,1110.67
2015-06-25,1111.05
2015-06-26,1122.31
2015-06-29,1119.09
2015-06-30,1117.34
2015-07-01,1123.89
2015-07-02,1119.95
2015-07-03,.
2015-07-06,1125.58
2015-07-07,1133.75
2015-07-08,1131.75
2015-07-09,1133.69
2015-07-10,1127.29
2015-07-13,1133.93
2015-07-14,1142.75
2015-07-15,1146.42
2015-07-16,1145.24
2015-07-17,1148.48
2015-07-20,1156.38
2015-07-21,1148.33
2015-07-22,1156.49
2015-07-23,1160.64
2015-07-24,1169.02
2015-07-27,1167.75
2015-07-28,1161.09
2015-07-29,1158.49
2015-07-30,1173.42
2015-07-31,1159.7
2015-08-03,1168.63
2015-08-04,1161.2
2015-08-05,1174.4
2015-08-06,1163.25
2015-08-07,1164
2015-08-10,1161.69
2015-08-11,1181.36
2015-08-12,1175.03
2015-08-13,1176.02
2015-08-14,1177.62
2015-08-17,1181.53
2015-08-18,1185.85
2015-08-19,1184.35
2015-08-20,1185.63
2015-08-21,1194.6
2015-08-24,1191.13
2015-08-25,1195.25
2015-08-26,1185.52
2015-08-27,1170.49
2015-08-28,1180.93
2015-08-31,1182.54
2015-09-01,1179.78
2015-09-02,1183.46
2015-09-03,1188.07
2015-09-04,1196.4
2015-09-07,.
2015-09-08,1195.57
2015-09-09,1186.52
2015-09-10,1184.87
2015-09-11,1182.25
2015-09-14,1181.17
2015-09-15,1178.69
2015-09-16,1169.77
2015-09-17,1163.11
2015-09-18,1164.13
2015-09-21,1179.24
2015-09-22,1186.1
2015-09-23,1193.96
2015-09-24,1195.48
2015-09-25,1190.14
2015-09-28,1193.32
2015-09-29,1194.28
2015-09-30,1184.62
2015-10-01,1180.04
2015-10-02,1175.48
2015-10-05,1158.54
2015-10-06,1160.7
2015-10-07,1153.72
2015-10-08,1155.57
2015-10-09,1145.67
2015-10-12,.
2015-10-13,1147.42
2015-10-14,1140.39
2015-10-15,1120.9
2015-10-16,1130.73
2015-10-19,1130.57
2015-10-20,1128.64
2015-10-21,1137.09
2015-10-22,1131.48
2015-10-23,1135
2015-10-26,1127.47
2015-10-27,1134.57
2015-10-28,1130.31
2015-10-29,1142.39
2015-10-30,1140.5
2015-11-02,1140.5
2015-11-03,1140.5
2015-11-04,1136.45
2015-11-05,1140.5
2015-11-06,1140.5
2015-11-09,1160.42
2015-11-10,1158.34
2015-11-11,.
2015-11-12,1158.6
2015-11-13,1169.79
2015-11-16,1172.67
2015-11-17,1169.08
2015-11-18,1167.89
2015-11-19,1156.08
2015-11-20,1151.63
2015-11-23,1159.14
2015-11-24,1149.39
2015-11-25,1140.67
2015-11-26,.
2015-11-27,1154.43
2015-11-30,1149.39
2015-12-01,1149.39
2015-12-02,1149.39
2015-12-03,1149.39
2015-12-04,1149.39
2015-12-07,1172.68
2015-12-08,1179.6
2015-12-09,1181.75
2015-12-10,1176.39
2015-12-11,1188
2015-12-14,1186.2
2015-12-15,1176.66
2015-12-16,1177.19
2015-12-17,1187.7
2015-12-18,1178.04
2015-12-21,1173.87
2015-12-22,1169.26
2015-12-23,1140.67
2015-12-24,1167.94
2015-12-25,.
2015-12-28,1169.26
2015-12-29,1169.26
2015-12-30,1177.53
2015-12-31,1169.26
2016-01-01,.
2016-01-04,1191.46
2016-01-05,1190.43
2016-01-06,1200.16
2016-01-07,1193.05
2016-01-08,1206.97
2016-01-11,1206.55
2016-01-12,1208.95
2016-01-13,1208.95
2016-01-14,1211.28
2016-01-15,1216.95
2016-01-18,.
2016-01-19,1205.61
2016-01-20,1215.4
2016-01-21,1204.31
2016-01-22,1195.66
2016-01-25,1194.3
2016-01-26,1199.64
2016-01-27,1199.25
2016-01-28,1204.08
2016-01-29,1210.04
2016-02-01,1203.19
2016-02-02,1212.01
2016-02-03,1211.33
2016-02-04,1186.11
2016-02-05,1204.69
2016-02-08,1205.1
2016-02-09,1200.39
2016-02-10,1189.69
2016-02-11,1196.89
2016-02-12,1205.13
2016-02-15,.
2016-02-16,1219.44
2016-02-17,1222.32
2016-02-18,1231.15
2016-02-19,1231.09
2016-02-22,1223.32
2016-02-23,1230.05
2016-02-24,1234.6
2016-02-25,1237.39
2016-02-26,1242.59
2016-02-29,1238.09
2016-03-01,1229.56
2016-03-02,1227.59
2016-03-03,1209.55
2016-03-04,1195.09
2016-03-07,1200.08
2016-03-08,1206.19
2016-03-09,1206.82
2016-03-10,1204.09
2016-03-11,1184.56
2016-03-14,1187.39
2016-03-15,1194.99
2016-03-16,1190.59
2016-03-17,1155.83
2016-03-18,1160.11
2016-03-21,1157.33
2016-03-22,1154.58
2016-03-23,1166.59
2016-03-24,1168.09
2016-03-25,1168.19
2016-03-28,1163.39
2016-03-29,1164.69
2016-03-30,1142.02
2016-03-31,1138.86
2016-04-01,1147.15
2016-04-04,1151.35
2016-04-05,1158.39
2016-04-06,1155.28
2016-04-07,1156.81
2016-04-08,1148.89
2016-04-11,1141.97
2016-04-12,1144.53
2016-04-13,1146.29
2016-04-14,1151.99
2016-04-15,1144.83
2016-04-18,1144.48
2016-04-19,1126.01
2016-04-20,1130.48
2016-04-21,1135.49
2016-04-22,1147.85
2016-04-25,1147.76
2016-04-26,1146.66
2016-04-27,1151.5
2016-04-28,1139.93
2016-04-29,1144.09
2016-05-02,1138.45
2016-05-03,1148.69
2016-05-04,1164.59
2016-05-05,1165.93
2016-05-06,1167.29
2016-05-09,1174.25
2016-05-10,1169.89
2016-05-11,1162.47
2016-05-12,1168.7
2016-05-13,1176.85
2016-05-16,1177.21
2016-05-17,1173.67
2016-05-18,1185.77
2016-05-19,1189.25
2016-05-20,1186.93
2016-05-23,1183.39
2016-05-24,1186.39
2016-05-25,1182.21
2016-05-26,1178.09
2016-05-27,1180.59
2016-05-30,.
2016-05-31,1188.99
2016-06-01,1192.09
2016-06-02,1186.69
2016-06-03,1167.79
2016-06-06,1162.28
2016-06-07,1154.8
2016-06-08,1153.83
2016-06-09,1159.29
2016-06-10,1167.61
2016-06-13,1169.74
2016-06-14,1176.78
2016-06-15,1167.53
2016-06-16,1176.49
2016-06-17,1171.77
2016-06-20,1156.8
2016-06-21,1154.35
2016-06-22,1147.99
2016-06-23,1143.27
2016-06-24,1167.56
2016-06-27,1181.24
2016-06-28,1169.31
2016-06-29,1153.09
2016-06-30,1154.15
2016-07-01,1146.49
2016-07-04,.
2016-07-05,1156.79
2016-07-06,1160.59
2016-07-07,1154.89
2016-07-08,1148.71
2016-07-11,1148.97
2016-07-12,1146.47
2016-07-13,1145.01
2016-07-14,1130.65
2016-07-15,1135.49
2016-07-18,1134.39
2016-07-19,1140.56
2016-07-20,1142.33
2016-07-21,1137.31
2016-07-22,1137.49
2016-07-25,1140.8
2016-07-26,1137.59
2016-07-27,1135.09
2016-07-28,1124.79
2016-07-29,1112.89
2016-08-01,1106.15
2016-08-02,1108.35
2016-08-03,1116.21
2016-08-04,1111.99
2016-08-05,1114.54
2016-08-08,1108.24
2016-08-09,1101.45
2016-08-10,1095.84
2016-08-11,1097.39
